Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5
"نگاه پویایی‌شناسانه به عوامل موجد فقر در جمهوری اسلامی ایران
جمهوری اسلامی ایران, فقر, مکانیسم تعامل","طراحی الگوی تعادل عمومی پویای تصادفی اقتصاد باز جهت بررسی تأثیر سیاست های پولی بر متغیرهای کلان اقتصاد ایران
الگوی تعادل عمومی پویای تصادفی, اقتصاد باز, سیاست های پولی, متغیرهای کلان اقتصاد ایران","ارزیابی آثار تغییرات اقلیم بر گسترش ناامنی غذایی با تأکید بر نقش مدیریت منابع آب در دشت همدان- بهار
بارش, تولید, آب زیرزمینی, الگوهای پویا, ناامنی غذایی","تأثیر شوک‌های قیمت نفت بر مؤلفه‌های بازار کار
شوک‌های قیمت نفت, نرخ یافتن شغل, نرخ ورود به بیکاری","بررسی اثر شاخص‌های توسعه بخش بانکی بر ثبات بانک‌های ایرانی، با تأکید بر عامل کارآیی
تاب‌آوری بانکی, ثبات بانکی, سودآوری بانکی, کارآیی بانکی","سرمایه انسانی و پیچیدگی اقتصاد در ایران
سرمایه انسانی, دانش, پیچیدگی اقتصادی, اقتصاد ایران"
"تحلیل رابطه پیشرفت اجتماعی و رشد اقتصادی مبتنی بر الگوی معادلات همزمان داده‌های تابلویی
شاخص پیشرفت اجتماعی, تولید ناخالص داخلی سرانه, درون‌زایی, سیستم معادلات همزمان, روش حداقل مربعات سه مرحله‌ای (3SLS)","ارزیابی اثر گسترش دولت الکترونیک بر بهره‌وری نیروی‌کار (مطالعه موردی: کشورهای در حال توسعه)
توسعه دولت الکترونیک, بهره‌وری نیروی‌ کار, کشورهای در حال توسعه, خودرگرسیون برداری با داده‌های پنلی","بهینه سازی شبکه زنجیره تأمین سبز چندسطحی-چندمحصولی فرآوری آبزیان
شبکه, بهینه سازی, زنجیره تأمین سبز, فرآوری آبزیان","نقش متنوع سازی شرکای تجاری در میزان اثربخشی نوسانات اقتصادی بین المللی در اقتصاد ایران
تنوع شرکای تجاری, خودرگرسیون برداری ساختاری (SVAR), اقتصاد ایران, نظریه لوکوموتیو","اندازه‌گیری میزان رقابت‌پذیری در صنعت برق ایران، رویکرد ساختاری و غیرساختاری با هدف دستیابی به رشد اقتصادی پایدار
رقابت, قدرت بازار, بازار برق, رشد اقتصادی پایدار","بررسی نقش سرمایه‌گذاری مستقیم خارجی بر رشد اقتصادی کشور در بخش های مختلف اقتصادی
سرمایه گذاری مستقیم خارجی, رشد اقتصادی, اشتغال, مدل غیرخطی"
"جایگاه سیاست مالی به‌عنوان مکانیسم انتشار پویایی‌های قیمت نفت در اقتصاد ایران: شواهدی از آنالیز موجک چندگانه و جزئی
پویایی‌های قیمت نفت, سیاست مالی, متغیرهای کلان اقتصادی, همدوسی موجک جزئی","تحلیل فضایی اثر آزادسازی تجاری بر نرخ بیکاری در استان های ایران
آزادسازی تجاری, نرخ بیکاری, رقابت استانی, اقتصادسنجی فضایی","اثر تحریم‌ و وضعیت درآمدهای نفتی بر درجه عبور نرخ ارز
تحریم, درآمد نفتی, درجه عبور نرخ ارز, تورم, نرخ ارز","مدل‌سازی تأثیر سیاست پولی با الگوهای مختلف نرخ بازپرداخت تسهیلات بر متغیرهای کلان اقتصادی با استفاده از رویکرد عامل بنیان
سیاست پولی, توزیع درآمد و ثروت, مدل‌سازی عامل بنیان","ارزیابی کیفیت، برابری و فراگیری آموزش بر توسعه پایدار در استان‌های ایران
آموزش, توسعه پایدار, آرلانو- باور/ بوندل – باند دومرحله‌ای, SGMM-DPD فضایی دوربین","بررسی اثر انواع  سرمایه خارجی بر رشد اقتصادی ایران
رشد اقتصادی ایران, سرمایه‌گذاری مستقیم خارجی, درآمد‌های انتقالی, کمک رسمی توسعه‌ای"
"پویایی‌های روابط مصرف برق، اثر محیطی و رشد اقتصادی با رویکرد ضرایب پارامتر طی زمان
TVP-VAR, نوسانات تصادفی, تولیدناخالص داخلی واقعی غیرنفتی, ردپای بوم‌شناختی","بررسی افزایش نرخ ارز و تأثیر آن بر برخی متغیرهای کلان اقتصادی ایران در شرایط تحریم
مدل کلان‌سنجی داده‌های ترکیبی با تواتر متفاوت, اقتصاد ایران, تحریم, سیاست ارزی","آسیب شناسی ناترازی مالی نظام بازنشستگی ایران با لحاظ بیماری‎های نوپدید و پدیده سالمندی جمعیت
نظام بازنشستگی, مدل DSGE, بیماری‌های نوپدید, سالمندی جمعیت, توابع واکنش آنی","تحلیل رابطه بین رشد اقتصادی، مصرف انرژی و ردپای اکولوژیکی در منتخبی از کشورهای توسعه‌یافته و درحال‌توسعه
ردپای اکولوژیکی, رشد اقتصادی, انرژی‌های تجدیدپذیر, انرژی‌های تجدیدناپذیر","بررسی تأثیر آسیب پذیری ساختاری اقتصادی بر جذب سرمایه گذاری مستقیم خارجی در کشورهای منطقه منا
آسیب پذیری ساختاری اقتصادی, سرمایه گذاری مستقیم خارجی, ایران, کشورهای منطقه منا, گشتاورهای تعمیم یافته","نقش اندازه بنگاه در اثرگذاری توسعه مالی بر توسعه صنعتی در ایران
توسعه مالی
رشد صنعتی
اندازه بنگاه
روش GMM"
"تأثیر غیرمستقیم گردشگری بر آسیب‌پذیری اقتصادی در منتخبی از کشورهای درحال توسعه: رویکرد غیرخطی PSTR
گردشگری, آسیب‌پذیری اقتصادی, کشورهای درحال توسعه, PSTR","عوامل مؤثر بر جانشینی پول در ایران؛ با تأکید بر نااطمینانی تورمی
تقاضای پول, جانشینی پول, نااطمینانی تورم, ARDL","پویایی‌های رابطۀ علّی بین مؤلفه‌های سیاست مالی: شواهدی نوین از رویکرد موجک
سیاست مالی, درآمدها و مخارج دولت, علیت تودا-یاماموتو, همبستگی موجک, اختلاف‌فاز","تأثیر نامتقارن نااطمینانی سیاست اقتصادی و قیمت نفت بر انتشار دی اکسید کربن در ایران
انتشار دی‌اکسید‌کربن, نااطمینانی سیاست اقتصادی, قیمت نفت, روش خودرگرسیونی با وقفه‌های توزیعی غیرخطی","شناسایی فرصت‎های اقتصادی رشد سبز در ایران: یک تحلیل داده- ستانده انرژی چند عاملی
رشد سبز, مصرف انرژی اولیه‌, انتشار دی‌اکسیدکربن, تحلیل داده - ستانده انرژی","بررسی اثرات متغیر زمانی توسعه مالی بر رشد اقتصادی: مدل TVP-FAVAR
توسعه مالی, رشد اقتصادی, مدل‌های پویای ساختاری با پارامترهای متغیر"
"ارزیابی سرریز تلاطم ناشی از اپیدمی کووید 19 بر بازده سهام ایران و چند کشور منتخب
: اپیدمی کووید 19, شاخص بازده سهام, بازارهای مالی, همبستگی شرطی ثابت, همبستگی شرطی پویا","بررسی ‌‌بی‌ثباتی مالی در مدل پویا: مطالعه موردی کشورهای خاورمیانه
توسعه مالی, ‌‌بی‌ثباتی مالی, رشد اقتصادی, گشتاور تعمیم یافته سیستمی, خاورمیانه","آینده پژوهی جایگاه مدیریت شهری در توسعه کسب و کارهای کوچک شهری؛ نمونه مورد مطالعه: کسب وکارهای کوچک تولیدی و خدمات فنی شهر تهران
آینده پژوهی, کسب‌و کارهای کوچک, فضای کسب و کار, PESTEL, تایدا","تأثیرپذیری ثبات مالی صنعت بیمه ایران از متغیرهای کلان اقتصادی
صنعت بیمه, ثبات مالی, متغیرهای کلان اقتصادی, مارکوف سوئیچینگ","بررسی نقش شاخص تجارت درون صنعتی در تعامل نرخ ارز و تراز تجاری با استفاده از مدل رگرسیون گذار ملایم
نرخ ارز حقیقی, تراز تجاری, مدل رگرسیون گذار ملایم, شاخص تجارت دورن صنعتی","بررسی اثر سرمایه اجتماعی بر ثبات بانکی ایران
ثبات بانکی
 سرمایه اجتماعی
SYS-GMM"
"بررسی اثرات مخارج سلامت عمومی بر متغیرهای کلان اقتصاد در شرایط شیوع یک بیماری همه‌گیر: کاربردی از الگوی کینزی جدید
بیماری همه‌گیر, ریسک فاجعه سلامت, مخارج سلامت عمومی, تعادل عمومی تصادفی پویا, کینزی جدید.","ارزیابی شاخص رفاه پایدار (SWI) برای ایران و بررسی اثرات آستانه‌ای عوامل مؤثر بر آن با استفاده از الگوی رگرسیون انتقال ملایم
رفاه, پایداری, شاخص رفاه پایدار, اثر آستانه‌ای, رگرسیون انتقال ملایم","سنجش روابط بین بخشی آب و انرژی در دو منطقه اصفهان و یزد بر اساس رویکرد داده - ستانده دو منطقه‌ای
آب - انرژی, رابطه پیوندی, مدیریت یکپارچه منابع, مدل داده - ستانده دو منطقه‌ای","تأثیر سیاست ارز ترجیحی بر مصرف مواد غذایی در مناطق شهری ایران
سیاست ارزترجیحی, مناطق شهری, مصرف مواد غذایی, مدل ARDL-PANEL","تحلیل منافع عضویت ایران در سازمان همکاری شانگهای: رویکرد تعادل عمومی قابل محاسبه
آزاد سازی تجاری, سازمان همکاری شانگهای, تعادل عمومی قابل محاسبه (CGE), پروژه تحلیل تجارت جهانی (GTAP)","بررسی اثر توسعه مالی بر نابرابری درآمد در ایران: رهیافت خودرگرسیون برداری ساختاری
توسعۀ‌مالی, نابرابری توزیع درآمد, عمق‌مالی, کارآیی مالی, خودرگرسیون برداری ساختاری"
"ظرفیت سنجی تشکیل سرمایه بخشی در استان اصفهان براساس مدل داده ستانده پویای بین منطقه‌ای
مدل داده ستانده, سرمایه, اقتصاد منطقه ای, روش چارم","نقش بخش بانکی در پویایی‌های بخش اقتصاد کلان ایران در قالب یک مدل تعادل عمومی تصادفی پویا
تسهیلات سرمایه‌ای, تسهیلات سرمایه در گردش, تکانه پولی, تکانه مالی, الگوی تعادل عمومی تصادفی پویا","بررسی اثر زمانی و شدت تحریم‌های سازمان ملل و ایالات‌متحده بر شاخص فلاکت کشورهای هدف
تحریم‌های اقتصادی, سازمان‌ملل, ایالات‌متحده, شاخص فلاکت","اندازه گیری سرمایه دانش بنیان در صنایع کارخانه ای ایران
سرمایه دانش‌بنیان- صنایع کارخانه‌‌ای – تحلیل عاملی اکتشافی","بررسی اثرات غیرخطی نابرابری توزیع درآمد بر فرار مغزها در کشورهای درحال توسعه
فرار مغزها, نابرابری توزیع درآمد, کشورهای در حال توسعه, مدل پانل آستانه ای","خنثایی پول در بخش خدمات اقتصاد ایران
بخش خدمات, تولید ناخالص ملی ایران, رویکرد فیشر و سیتر, خنثایی و ابر خنثایی بلندمدت پول"
"بررسی اثرات زیست محیطی استخراج بیت‌کوین با استفاده از روش پویایی سیستم
ارز دیجیتال, انرژی, بیت‌کوین, پویایی سیستم, محیط‌زیست","تأثیر سرمایه گذاری در مسکن بر رشد اقتصادی ایران؛ کاربردی از رهیافت  GMM سری زمانی
رشد اقتصادی, سرمایه گذاری در مسکن, GMMسری زمانی, ایران","مطالعه هزینه‌های تحمل‌ناپذیر سلامت و میزان زایش فقر خانوارها در چارچوب نظریه چرخه زندگی با رویکرد شبه پنل
طرح تحول سلامت, هزینه‌های تحمل ناپذیر, زایش فقر, شبه‌پنل, چرخه زندگی","واکنش سیاست های پولی و مالی به شکاف تولید در ایران با رویکرد قاعده تیلور: روش کوانتایل
قاعده تیلور, واکنش بانک مرکزی, واکنش دولت, رگرسیون کوانتایل, شکاف تولید","بررسی پویایی غیرخطی و تغییرات ناگهانی در پارامتر‌های تابع تقاضای پول در ایران
حجم پول, ثبات تابع تقاضای پول, مارکوف سوئیچینگ, شاخص دیویزیا","بررسی تأثیر نرخ ارز مؤثر واقعی و نااطمینانی های آن بر ارزش افزوده بخش صنعت اقتصاد ایران
نااطمینانی های نرخ ارز مؤثر واقعی, ارزش افزوده زیر بخشهای صنعت, مدل های گارچ, هدریک وپرسکات, داده های تابلویی, کدهای دورقمی  ISIC-REV4"
"رابطه بین گذار به سالخوردگی جمعیت و آلودگی هوا در ایران؛ کاربردی از روش گشتاورهای تعمیم‌یافته سری زمانی
سالخوردگی جمعیت, آلودگی هوا, روش گشتاورهای تعمیم‌یافته در سری های زمانی","مطالعه تأثیر فناوری اطلاعات و ارتباطات و توزیع درآمد بر ناآرامی اجتماعی در ایران
: ناآرامی اجتماعی, فناوری اطلاعات و ارتباطات, توزیع درآمد, نرخ تورم, تولید ناخالص داخلی سرانه","بررسی اثرگذاری متغیرهای اقتصادی بر اتخاذ کمک‌های انسان‌دوستانه زمانی افراد
: رفتار اخلاقی, تئوری انتخاب عقلانی, مدل رفتاری جدید, شواهد تجربی, کمک‌های انسان‌دوستانه زمانی","تأثیر آستانه ای تمرکززدایی ‌مالی ‌ترکیبی بر رشد اقتصادی ‌استان‌های ایران: رویکرد رگرسیون انتقال ملایم تابلویی (PSTR)
تمرکززدایی مالی ترکیبی, تحلیل مؤلفه‌های اصلی, الگوی رگرسیون انتقال ملایم تابلویی","اثر سرمایه انسانی بر آلودگی هوا در ایران؛ رهیافت GMM سری زمانی و منطق فازی
سرمایه انسانی, آلودگی هوا, GMM سری زمانی, منطق فازی","تأثیر ساختار مالی بر بی‌ثباتی رشد اقتصادی ایران
توسعه مالی, ساختار مالی, بی ثباتی رشد اقتصادی, ARDL, GARCH"
"بررسی علل تداوم سیاست های تورم زا در ایران از منظر سطح تحلیلی توسعه
اقتصاد سیاسی تورم, تورم, سطح تحلیلی توسعه, تولید محوری","تحلیل نقش بی ثباتی اقتصاد کلان بر نابرابری درآمد در ایران
نابرابری درآمد, بی ثباتی اقتصاد کلان, رهیافت نامتقارن, ایران","پس‌انداز اصیل و چگونگی ارتباط آن با ارزش فعلی مصارف در ایران (1391-1339)
پس‌انداز اصیل, قاعده هارتویک, توسعه پایدار, ایران","تأثیر نوآوری در فنّاوری، رشد اقتصادی، قیمت جهانی نفت خام و باز بودن تجارت بر مصرف انرژی در ایران
تابع تقاضای مارشال, ARDL (خودرگرسیون با وقفه‌های توزیعی), مصرف انرژی, باز بودن تجارت, نوآوری در فنّاوری","بررسی اثر سرمایه انسانی بر ارزش افزوده اقتصادی در ایران و ارائه راهکارهای مناسب جهت ارتقاء آن
ارزش افزوده اقتصادی, سرمایه انسانی, نیروی کار, هزینه‌های آموزشی, روش خودهمبسته با وقفه-های توزیعی","بررسی همگرایی درآمدی و رفاه بین استان های ایران با استفاده از روش خوشه ای
همگرایی, تحلیل خوشه‌ای, استان‌ها, ایران"
