,abstract
68,"['یکی', 'بازارهایی', 'بحران', 'اخیر', 'دور', 'دوم', 'تحریم', 'شدت', 'متلاطم', 'شده', 'رفتاری', 'حباب', 'گونه', 'خود', 'نشان', 'داده', 'بازار', 'سهام', 'بوده_است', 'سؤال', 'مهمی', 'اکنون', 'پیش', 'آمده', 'است', 'آیا', 'افزایش', 'شدید', 'قیمت', 'سهام', 'ناشی', 'حباب', 'بوده', 'بوده', 'چه', 'متغیری', 'مسبب', 'بوده_است', 'ادبیات', 'جدید', 'نقش', 'مهم', 'متغیر', 'سیاست', 'پولی', 'شکل', 'گیری', 'حباب', 'تأکید', 'دارد', 'اساس', 'مطالعه', 'نقش', 'سیاست', 'پولی', 'شکل', 'گیری', 'حباب', 'بازار', 'سهام', 'پرداخته_شده_است', 'شناسایی', 'حباب', 'روش', 'فیلیپس', 'همکاران', 'سیاست', 'پولی', 'اندازه', 'حباب', 'روش', 'گالی', 'گمبتی', 'همچنین', 'روش', 'خودرگرسیون', 'برداری', 'پارامترهای', 'متغیر', 'زمان', 'بازه', 'استفاده', 'شده_است', 'دلیل', 'ساختار', 'حصول', 'نتایج', 'دقیق', 'تر', 'سه', 'متغیر', 'نرخ', 'بهره', 'حجم', 'نقدینگی', 'اعتبارات', 'اعطایی', 'بخش', 'خصوصی', 'عنوان', 'نماینده', 'سیاست', 'پولی', 'استفاده', 'شد', 'نتایج', 'دست', 'آمده', 'حاکی', 'است', 'بازار', 'سهام', 'برخی', 'دوره', 'درگیر', 'حباب', 'قیمتی', 'بوده_است', 'شوک', 'نرخ', 'بهره', 'شوک', 'نقدینگی', 'تقویت', 'مؤثر', 'بوده_اند', 'اعتبارات', 'اعطایی', 'بخش', 'خصوصی', 'بخش', 'حبابی', 'قیمت', 'سهام', 'تحت', 'تأثیر', 'قرار', 'نداده_است', 'همچنین', 'میزان', 'اثرگذاری', 'سیاست', 'پولی', 'حباب', 'بازار', 'سهام', 'طی', 'زمان', 'متغیر', 'بوده', 'دوره', 'مورد', 'افزایش', 'پیدا', 'کرده', 'نحوی', 'سال', 'سالی', 'بازار', 'سهام', 'درگیر', 'حباب', 'قیمتی', 'بوده_است', 'بیشترین', 'مقدار', 'خود', 'رسیده_است']"
69,"['آسیب', 'پذیری', 'ویژگی', 'ساختاری', 'یک', 'کشور', 'است', 'باعث', 'می', 'شود', 'معرض', 'متغیرهای', 'خارج', 'کنترل', 'قرار', 'گیرد', 'تاب', 'آوری', 'ناشی', 'اتخاذ', 'سیاست', 'کلان', 'است', 'تحقیق', 'حاضر', 'انتخاب', 'کشورهای', 'صادرکننده', 'نفت', 'MENA', 'کشورهای', 'صنعتی', 'استفاده', 'شاخص', 'ترکیبی', 'رویکرد', 'نظریه', 'گراف', 'دوره', 'زمانی', 'متغیرهای', 'زیرمجموعه', 'توسعه', 'پایدار', 'پنج', 'نظر', 'می', 'گیرد', 'رو', 'پژوهش', 'دنبال', 'شناسایی', 'نقاط', 'قوت', 'ضعف', 'گروه', 'کشورهای', 'منتخب', 'وضعیت', 'آسیب', 'پذیری', 'تاب', 'آوری', 'است', 'طریق', 'بتواند', 'جهت', 'گیری', 'سیاستی', 'مناسبی', 'دستیابی', 'توسعه', 'پایدار', 'ارائه', 'نماید', 'مسیر', 'کشورها', 'چهار', 'وضعیت', 'آسیب', 'پذیری', 'کنترل', 'نشده', 'آسیب', 'پذیری', 'محدود', 'تاب', 'آوری', 'ناپایدار', 'تاب', 'آوری', 'پایدار', 'طبقه', 'بندی', 'می', 'نماید', 'نتایج', 'تحقیق', 'نشان', 'می', 'دهد', 'کشورهای', 'صنعتی', 'وضعیت', 'تاب', 'آوری', 'پایدار', 'معنای', 'بیشتر', 'بودن', 'تاب', 'آوری', 'نسبت', 'آسیب', 'پذیری', 'شاخص', 'مثبت', 'قرار', 'می', 'گیرند', 'برخی', 'کشورهای', 'صادرکننده', 'نفت', 'گروه', 'تاب', 'آوری', 'پایدار', 'قرار', 'دارند', 'مقدار', 'شاخص', 'کشورها', 'تقریبا', 'برابر', 'صفر', 'است', 'مشکل', 'اصلی', 'کشورهای', 'مورد', 'نظر', 'حکمرانی', 'قرار', 'دارد', 'توجه', 'موقعیت', 'متزلزل', 'شان', 'می', 'تواند', 'انتقال', 'وضعیت', 'آسیب', 'پذیری', 'کنترل', 'نشده', 'منجر', 'گردد', 'کشورهای', 'گروه', 'گروه', 'آسیب', 'پذیری', 'کنترل', 'نشده', 'شاخص', 'منفی', 'قرار', 'می', 'گیرند', 'عامل', 'اصلی', 'پایین', 'بودن', 'تاب', 'آوری', 'بالا', 'بودن', 'آسیب', 'پذیری', 'کشورها', 'مانند', 'بقیه', 'کشورهای', 'گروه', 'حکمرانی', 'قرار', 'دارد', 'بدین', 'ترتیب', 'جهت', 'بهبود', 'وضعیت', 'آسیب', 'پذیری', 'تاب', 'آوری', 'دستیابی', 'توسعه', 'پایدار', 'اجرای', 'اصلاحات', 'قابل', 'توجهی', 'نظام', 'حکمرانی', 'کشورها', 'ضروری', 'نظر', 'می', 'رسد']"
70,"['وقوع', 'تغییرات', 'اقلیم', 'طریق', 'ایجاد', 'تغییر', 'عرضه', 'قیمت', 'محصولات', 'کشاورزی', 'مازاد', 'تولیدکنندگان', 'بخش', 'تحت\xadالشعاع', 'قرار', 'می', 'دهد', 'حالی', 'است', 'اساس', 'مطالعات', 'پیشین', 'تغییرات', 'اقلیم', 'دهه', 'آتی', 'پدیده', 'ای', 'مشهود', 'اغلب', 'دشت', 'خواهد_بود', 'تبعات', 'منفی', 'منابع', 'آب', 'پی', 'تولید', 'محصولات', 'کشاورزی', 'امنیت', 'غذایی', 'خواهد_داشت', 'لذا', 'توجه', 'اهمیت', 'تأمین', 'غذا', 'فرایند', 'توسعۀ', 'امنیت', 'غذایی', 'تغییرات', 'اقلیم', 'رفاهی', 'پدیده', 'کشورمان', 'ضروری', 'است', 'توجه', 'رویکرد', 'مطالعۀ', 'حاضر', 'بالقوۀ', 'پیش', 'بینی', 'مختلف', 'اقلیمی', 'الگوی', 'کشت', 'دشت', 'همدان-\xad', 'بهار', 'نظر', 'گرفتن', 'سال', 'زراعی', 'عنوان', 'سال', 'پایه', 'مورد', 'قرار', 'گرفت', 'میزان', 'عملکرد', 'محصولات', 'منابع', 'آب', 'زیرزمینی', 'تولید', 'درآمد', 'متعاقب', 'امنیت', 'غذایی', 'بخش', 'کشاورزی', 'دشت', 'ارزیابی', 'شد', 'نتایج', 'نشان', 'داد', 'نظر', 'گرفتن', 'رویکردی', 'خوش\xadبینانه', 'پیش', 'بینی', 'تغییرات', 'اقلیم', 'همگام', 'افزایش', 'برداشت', 'منابع', 'آب', 'زیرزمینی', 'میزان', 'درصد', 'افزایش', 'میانگین', 'قیمت', 'محصولات', 'کشاورزی', 'میزان', 'درصد', 'کاهش', 'تولید', 'میزان', 'درصد', 'دورۀ', 'برنامه', 'ریزی', 'سالۀ', 'تحقیق', 'نسبت', 'سال', 'پایه', 'ارزش', 'حال', 'درآمد', 'خالص', 'تولیدکنندگان', 'شاخص', 'امنیت', 'غذایی', 'بخش', 'کشاورزی', 'منطقه', 'ترتیب', 'میزان', 'درصد', 'کاهش', 'خواهد_یافت', 'حال', 'اتخاذ', 'راهبرد', 'مدیریتی', 'کم', 'آبیاری', 'بهبود', 'امنیت', 'غذایی', 'دشت', 'میزان', 'درصد', 'پی', 'خواهد_داشت']"
71,"['هدف', 'نگارش', 'مقاله', 'معرفی', 'ارائه', 'یک', 'چهارچوب', 'جامع', 'براساس', 'دیدگاه', 'توسعۀ', 'پایدار', 'برآورد', 'فقر', 'چند', 'بعدی', 'کودکان', 'زیر', 'سال', 'استفاده', 'روش', 'الکایر-\xad', 'فوستر', 'است', 'سیاست', 'گذاران', 'جهت', 'برنامه', 'ریزی', 'شناخت', 'عوامل', 'مؤثر', 'محرومیت', 'کودکان', 'یاری', 'رساند', 'منظور', 'داده', 'آمارگیری', 'شاخص', 'چند', 'گانه', 'جمعیت', 'سلامت', 'سال', 'آخرین', 'داده', 'موجود', 'کشور', 'بوده', 'استفاده', 'شده_است', 'نتایج', 'تحقیق', 'دلالت', 'دارد', 'کودکان', 'مناطق', 'روستایی', 'مقایسه', 'کودکان', 'شهری', 'فقر', 'چند', 'بعدی', 'بیشتری', 'رنج', 'می', 'برند', 'نوع', 'محرومیتی', 'کودکان', 'خانوارهای', 'شهری', 'روستایی', 'تجربه', 'می', 'کنند', 'متفاوت', 'است', 'توجه', 'نتایج', 'کلی', 'مناطق', 'شهری', 'دو', 'تکامل', 'حمایت', 'مناطق', 'روستایی', 'بعدهای', 'تکامل', 'استانداردهای', 'زندگی', 'درجه', 'اهمیت', 'بالاتری', 'برخوردارند', 'شاخص', 'فقر', 'چند', 'بعدی', 'کودکان', 'زیر', 'سال', 'تفکیک', 'زیرگروه', 'جمعیتی', 'حاکی', 'است', 'جنسیت', 'سطح', 'تحصیلات', 'مادر', 'خانوار', 'سطح', 'توسعۀافتگی', 'استان', 'پنجک', 'نوع', 'محرومیتی', 'کودکان', 'تجربه', 'می', 'کنند', 'تأثیرگذار', 'است']"
72,"['پژوهش', 'استفاده', 'الگوی', 'تعادل', 'عمومی', 'پویای', 'تصادفی', 'کینزی', 'جدید', 'تکانه', 'پولی', 'ناشی', 'رژیم', 'مختلف', 'سیاست', 'پولی', 'متغیرهای', 'کلان', 'شده_است', 'منظور', 'دو', 'رژیم', 'سیاست', 'پولی', 'هدف', 'گذاری', 'نرخ', 'بهره', 'بین', 'بانکی', 'استفاده', 'قاعده', 'تیلور', 'هدف', 'گذاری', 'نرخ', 'رشد', 'پول', 'جداگانه', 'الگو', 'وارد', 'شده_اند', 'ساختار', 'الگو', 'شامل', 'بخش', 'اصلی', 'خانوار', 'بنگاه', 'دولت', 'بانک', 'بانک', 'مرکزی', 'بوده', 'منظور', 'انطباق', 'شرایط', 'درآمدهای', 'نفتی', 'قید', 'بودجه', 'دولت', 'لحاظ', 'شده_است', 'همچنین', 'بنگاه', 'حاضر', 'الگو', 'توجه', 'فرض', 'باز', 'بودن', 'سه', 'دسته', 'تولیدی', 'صادراتی', 'وارداتی', 'تقسیم', 'شده_اند', 'نتایج', 'ارزیابی', 'تکانه', 'مثبت', 'نرخ', 'بهره', 'بازار', 'بین', 'بانکی', 'حاکی', 'است', 'تولید', 'غیرنفتی', 'واردات', 'کاهش', 'یافته', 'نرخ', 'بهره', 'تسهیلات', 'سپرده', 'بانکی', 'تورم', 'افزایش', 'می', 'یابد', 'همچنین', 'تکانه', 'نرخ', 'رشد', 'پایه', 'پولی', 'عنوان', 'سیاست', 'انبساطی', 'افزایش', 'قدرت', 'تسهیلات', 'دهی', 'بانک', 'کاهش', 'نرخ', 'تسهیلات', 'تولید', 'افزایش', 'نرخ', 'تورم', 'کاهش', 'می', 'دهد', 'اساس', 'مقایسه', 'توابع', 'واکنش', 'آنی', 'تکانه', 'نرخ', 'رشد', 'پایه', 'پولی', 'دوره', 'کوتاه', 'تری', 'تعدیل', 'شده', 'نوسانات', 'بزرگتری', 'متغیرها', 'دارد']"
73,"['مطالعه', 'تأثیر', 'تغییر', 'نرخ', 'بازپرداخت', 'تسهیلات', 'عنوان', 'یک', 'ابزار', 'سیاستی', 'متغیرهای', 'کلان', 'بویژه', 'توزیع', 'درآمد', 'ثروت', 'جامعه', 'تمرکز', 'کرده', 'رویکرد', 'محاسباتی', 'عامل', 'بنیان', 'ACE', 'دلیل', 'نزدیک', 'بودن', 'شبیه', 'سازی', 'واقعیت', 'توانایی', 'روند', 'تغییرات', 'استفاده', 'نموده_است', 'شبیه', 'سازی', 'ACE', 'روند', 'تغییرات', 'متغیرها', 'عوامل', 'مورد', 'قرار', 'می', 'گیرد', 'عامل', 'توان', 'تصمیم', 'گیری', 'مورد', 'متغیرهای', 'خود', 'اساس', 'مشاهده', 'خود', 'سیستم', 'دارد', 'شبیه', 'سازی', 'تأثیر', 'تغییر', 'نرخ', 'بازپرداخت', 'تسهیلات', 'سه', 'سناریوی', 'نرخ', 'بازپرداخت', 'کاهشی', 'افزایشی', 'ثابت', 'توزیع', 'درآمد', 'ثروت', 'دیگر', 'متغیرهای', 'کلان', 'مورد', 'قرار', 'گرفته_است', 'نتیجه', 'شبیه', 'سازی', 'نشان', 'می', 'دهد', 'نرخ', 'بازپرداخت', 'افزایشی', 'تسهیلات', 'سبب', 'فروپاشی', 'سیستم', 'شبیه', 'سازی', 'می', 'شود', 'ضریب', 'جینی', 'افزایش', 'می', 'یابد', 'نشان', 'دهنده', 'اختلاف', 'توزیع', 'درآمد', 'ثروت', 'جامعه', 'است', 'سناریوی', 'نرخ', 'بازپرداخت', 'ثابت', 'تسهیلات', 'تأثیری', 'جهت', 'بهبودی', 'ضریب', 'جینی', 'نشان', 'نمی', 'دهد', 'طرفی', 'سبب', 'ورشکستگی', 'بسیاری', 'بنگاه', 'بلندمدت', 'می', 'شود', 'بهترین', 'نتیجه', 'مربوط', 'سیاست', 'نرخ', 'بازپرداخت', 'کاهشی', 'تسهیلات', 'است', 'سناریو', 'سیستم', 'مورد', 'رشد', 'پایدار', 'نقدینگی', 'کنترل', 'شده', 'کاهش', 'ضریب', 'جینی', 'دست', 'می', 'یابد', 'شرایطی', 'بازارهای', 'سفته', 'بازی', 'وجود', 'نداشته_باشند', 'تمامی', 'پول', 'خلق', 'شده', 'سیستم', 'بانکی', 'سمت', 'تولید', 'توسعه', 'فعالیت', 'هدایت', 'شوند', 'نرخ', 'بازپرداخت', 'کاهشی', 'تسهیلات', 'می', 'تواند', 'بهبود', 'توزیع', 'درآمد', 'ثروت', 'جامعه', 'منجر', 'شود']"
74,"['دهه', 'اخیر', 'دولت', 'ایجاد', 'توسعه', 'دولت', 'الکترونیکی', 'گام', 'مهمی', 'راستای', 'حرکت', 'سمت', 'جامعه', 'اطلاعاتی', 'ارائه', 'بهتر', 'خدمات', 'ارتقاء', 'سطح', 'رفاهی', 'جامعه', 'خود', 'برداشته', 'اند', 'طوری', 'یکی', 'عوامل', 'مؤثر', 'رشد', 'توسعه', 'کشورها', 'افزایش', 'بهره', 'وری', 'نیروی', 'کار', 'پیشرفت', 'سطح', 'فناوری', 'ارتباطات', 'توسعه', 'دولت', 'الکترونیک', 'قلمداد', 'می', 'شود', 'راستا', 'مقاله', 'حاضر', 'تأثیر', 'توسعه', 'دولت', 'الکترونیک', 'بهره', 'وری', 'نیروی', 'کار', 'دستور', 'کار', 'می', 'باشد', 'بدین', 'منظور', 'استفاده', 'داده', 'کشور', 'درحال', 'توسعه', 'استفاده', 'رهیافت', 'خود', 'رگرسیون', 'برداری', 'داده', 'پنلی', 'طی', 'سال', 'موضوع', 'پرداخته_شده_است', 'نتایج', 'حاصل', 'پژوهش', 'نشان', 'می', 'دهد', 'یک', 'شوک', 'مثبت', 'توسعه', 'دولت', 'الکترونیک', 'بهره', 'وری', 'نیروی', 'کار', 'شدت', 'افزایش', 'می', 'یابد', 'مطلب', 'دلالت', 'دارد', 'توسعه', 'دولت', 'الکترونیک', 'مدت', 'می', 'تواند', 'افزایش', 'بهرهوری', 'نیروی', 'کار', 'کشورهای', 'درحال', 'توسعه', 'منجر', 'شود', 'همچنین', 'نتایج', 'پژوهش', 'نشان', 'می', 'دهد', 'کشورهای', 'درحال', 'توسعه', 'میان', 'متغیرهای', 'منتخب', 'تأثیر', 'شوک', 'متغیر', 'سلامت', 'شاخص', 'توسعه', 'انسانی', 'بزرگتر', 'تأثیر', 'متغیرها', 'نظیر', 'شوک', 'تشکیل', 'سرمایه', 'فیزیکی', 'متغیر', 'آموزش', 'شاخص', 'توسعه', 'انسانی', 'می', 'باشد', 'بدین', 'ترتیب', 'می', 'توان', 'پیاده', 'سازی', 'نهادینه', 'نمودن', 'دولت', 'الکترونیک', 'عنوان', 'گامی', 'جهت', 'افزایش', 'بهره', 'وری', 'نیروی', 'کار', 'کشورهای', 'حال', 'توسعه', 'توصیه', 'نمود']"
75,"['بیکاری', 'یکی', 'مهم', 'ترین', 'معضلاتی', 'است', 'مختلف', 'متنوع', 'سیاسی', 'فرهنگی', 'اجتماعی', 'همراه', 'دارد', 'میان', 'آزادسازی', 'تجاری', 'عنوان', 'نماد', 'اصلی', 'جهانی', 'شدن', 'مهم', 'ترین', 'نیروی', 'پیش', 'برنده', 'است', 'می', 'تواند', 'متعددی', 'قبیل', 'افزایش', 'کارآیی', 'عوامل', 'تولید', 'ارتقاء', 'سرمایه', 'گذاری', 'نیروی', 'انسانی', 'سرمایه', 'فیزیکی', 'داشته_باشد', 'همچنین', 'قسمت', 'هایی', 'مزیت', 'نسبی', 'برخودار', 'بوده_است', 'می', 'تواند', 'افزایش', 'تولید', 'ناخالص', 'داخلی', 'تبع', 'کاهش', 'نرخ', 'بیکاری', 'منجر', 'گردد', 'رو', 'هدف', 'پژوهش', 'حاضر', 'تأثیر', 'آزادسازی', 'تجاری', 'نرخ', 'بیکاری', 'استان', 'کشور', 'رویکرد', 'اقتصادسنجی', 'فضایی', 'طی', 'بازه', 'زمانی', 'است', 'پیش', 'تخمین', 'مدل', 'فضایی', 'استفاده', 'آزمون', 'وابستگی', 'تشخیصی', 'فضایی', 'موران', 'جری', 'سی', 'سرریز', 'فضایی', 'مورد', 'تأیید', 'قرار', 'گرفت', 'اساس', 'نتایج', 'دست', 'آمده', 'شاخص', 'آزادسازی', 'تجاری', 'مجاورت', 'مثبت', 'معنی', 'داری', 'کاهش', 'نرخ', 'بیکاری', 'استان', 'مورد', 'مطالعه', 'دارد', 'نتایج', 'تحقیق', 'حاکی', 'می', 'باشد', 'آزادسازی', 'تجاری', 'عنوان', 'یک', 'متغیر', 'مهم', 'مطالعات', 'منطقه', 'ای', 'اشتغال', 'استان', 'مجاور', 'استان', 'دارای', 'نرخ', 'بیکاری', 'بالا', 'باید', 'لحاظ', 'گردد', 'سرریز', 'فضایی', 'همچنین', 'توجه', 'نتایج', 'مشاهده', 'شده_است', 'تولید', 'ناخالص', 'داخلی', 'اعتبارات', 'تملک', 'دارایی', 'سرمایه', 'ای', 'عمرانی', 'تأثیر', 'مثبت', 'معناداری', 'کاهش', 'نرخ', 'بیکاری', 'دارند', 'حالی', 'نرخ', 'تورم', 'نرخ', 'دستمزد', 'دارای', 'رابطه', 'منفی', 'معنی', 'داری', 'کاهش', 'نرخ', 'بیکاری', 'استان', 'دارند']"
76,"['الگوی', 'داده-ستانده', 'متعارف', 'باز', 'صرفا', 'تعامل', 'میان', 'واحدهای', 'تولیدی', 'نظر', 'میگیرد', 'مصرف', 'خانوار', 'برونزا', 'فرض', 'میکند', 'میازاوا', 'مدل', 'داده-ستانده', 'نیمه', 'بسته', 'معرفی', 'درونزا', 'فرض', 'کردن', 'مصرف', 'خانوار', 'ارتباط', 'میان', 'بخش', 'تولید', 'خانوار', 'لحاظ', 'نمود', 'بدین', 'ترتیب', 'چهارچوب', 'مدل', 'میازاوا', 'علاوه', 'مستقیم', 'غیرمستقیم', 'بخشهای', 'تولیدی', 'القایی', 'درآمد', 'مصرف', 'ایجاد', 'میشود', 'عین', 'حال', 'مصرف', 'خانوار', 'علاوه', 'درآمد', 'جاری', 'تابعی', 'عواملی', 'نظیر', 'سطح', 'مصرف', 'قبلی', 'درآمد', 'انتظاری', 'میباشد', 'بنابراین', 'الگوی', 'داده-ستانده', 'نیمه', 'بسته', 'سبب', 'نظر', 'نگرفتن', 'عوامل', 'ارتباط', 'بین', 'بخش', 'خانوار', 'تولید', 'بیش', 'حد', 'برآورد', 'میکند', 'اساس', 'چن', 'همکاران', 'مدل', 'داده-ستانده', 'نیمه', 'بسته', 'جدیدی', 'ارائه', 'کردند', 'مصرف', 'خانوار', 'دو', 'جزء', 'برونزا', 'درونزا', 'تفکیک', 'نمودند', 'پژوهش', 'حاضر', 'استفاده', 'جدول', 'داده-ستانده', 'سال', 'بانک', 'مرکزی', 'مقایسه', 'نتایج', 'حاصل', 'دو', 'مدل', 'میازاوا', 'مدل', 'چن', 'همکاران', 'میپردازد', 'راستا', 'ابتدا', 'ضرایب', 'مصرف', 'درونزا', 'گروه', 'کالایی', 'استفاده', 'مدل', 'فیلتر', 'کالمن', 'برآورد', 'میگردد', 'سپس', 'ضرایب', 'ساخت', 'مدل', 'داده-ستانده', 'نیمهبسته', 'مصرف', 'نیمه', 'درونزا', 'مورد', 'استفاده', 'قرار', 'میگیرد', 'سرانجام', 'ضریب', 'مصرف', 'درونزای', 'تخمینی', 'دسته', 'کالاها', 'طریق', 'ماتریس', 'رابط', 'ضریب', 'مصرف', 'درونزای', 'بخشهای', 'داده-ستانده', 'تبدیل', 'میشود', 'نتایج', 'تحقیق', 'نشان', 'میدهد', 'ضرایب', 'ارزش', 'افزوده', 'مدل', 'نیمه', 'بسته', 'مصرف', 'نیمه', 'درونزا', 'نسبت', 'ضرایب', 'مدل', 'نیمه', 'بسته', 'مصرف', 'کاملا', 'درونزا', 'کوچک', 'تر', 'نتایج', 'حاصل', 'واقعیت', 'نزدیکتر', 'است']"
77,"['مزیت', 'نسبی', 'یک', 'ویژگی', 'پیوسته', 'ایستا', 'نیست', 'پیشرفت', 'علمی', 'گذر', 'زمان', 'بین', 'نقاط', 'مختلف', 'جغرافیایی', 'محصولات', 'مختلف', 'انتقال', 'پذیر', 'بوده', 'وابسته', 'عواملی', 'مثل', 'موجودی', 'منابع', 'روش', 'تولید', 'تغییرات', 'تکنولوژیکی', 'است', 'بنابراین', 'توجه', 'اینکه', 'ساله', 'اعتبارات', 'ملی', 'استانی', 'قالب', 'طرح', 'پروژه', 'متعددی', 'اجرا', 'می', 'آید', 'منظور', 'تخصیص', 'بهینه', 'اعتبارات', 'ایجاد', 'تعادل', 'منطقه', 'ای', 'جهت', 'دهی', 'استان', 'کشور', 'سمت', 'تخصص', 'گرایی', 'منطقه', 'ای', 'دستیابی', 'زمینه', 'رشد', 'توسعه', 'ایجاد', 'تعادل', 'منطقه', 'ای', 'مطالعه', 'تغییرات', 'ساختاری', 'نابرابری', 'منطقه', 'ای', 'براساس', 'سه', 'سناریو', 'استفاده', 'اطلاعات', 'جداول', 'داده-ستانده', 'هنگام', 'شده', 'سال', 'شده_است', 'نتایج', 'حاصل', 'کاربرد', 'مدل', 'تغییر', 'سهم', 'سناریو', 'اول', 'نشان', 'دهندۀ', 'رشد', 'نامتناسب', 'شاغلان', 'بخش', 'مختلف', 'استان', 'کشور', 'دوره', 'مورد', 'است', 'نتایج', 'سناریوی', 'دوم', 'استفاده', 'نظریه', 'تجارت', 'بین', 'الملل', 'متعارف', 'هکشر-', 'اوهلین', 'حاکی', 'است', 'کالاهای', 'صادراتی', 'استان', 'دلیل', 'عدم', 'تأمین', 'شرایط', 'تولید', 'مبادله', 'دارای', 'مزیت', 'نسبی', 'نیستند', 'کالاهایی', 'دارای', 'مزیت', 'نسبی', 'می', 'باشیم', 'محیط', 'مناسبی', 'رشد', 'صادرات', 'کالاها', 'فراهم', 'است', 'ارتباطات', 'ضعیف', 'مانع', 'رشد', 'صادرات', 'شده_است', 'همچنین', 'یافته', 'سناریو', 'سوم', 'بیانگر', 'است', 'زیرشاخص', 'پیچیدگی', 'دست', 'یافتنی', 'بودن', 'تولید', 'یک', 'محصول', 'لحاظ', 'دسترسی', 'قابلیت', 'توانمندی', 'مورد', 'نیاز', 'تولید', 'صادرات', 'کالا', 'یک', 'استان', 'تأیید', 'می', 'نماید', 'بنابراین', 'توسعه', 'یافتگی', 'استان', 'مختلف', 'علت', 'امکانات', 'بالقوه', 'منطقه', 'ای', 'ممکن', 'است', 'بخش', 'مختلف', 'یکدیگر', 'متجانس', 'نباشد', 'واقع', 'نادیده', 'گرفتن', 'امکانات', 'ظرفیت', 'بالقوه', 'مزیت', 'نسبی', 'منطقه', 'نهایت', 'تغییرات', 'ساختاری', 'توسعه', 'نیافتگی', 'نابرابری', 'بین', 'مناطق', 'منجر', 'شده_است']"
78,"['آلودگی', 'زیست', 'محیطی', 'یکی', 'بزرگ', 'ترین', 'چالش', 'سال', 'اخیر', 'جوامع', 'بشری', 'است', 'افزایش', 'روزافزون', 'پیامد', 'مخرب', 'همچنین', 'افزایش', 'نگرانی', 'مورد', 'سبب', 'پیدایش', 'رویکرد', 'جدیدی', 'تحت', 'عنوان', 'زنجیره', 'تأمین', 'سبز', 'شده_است', 'عنوان', 'یک', 'فلسفه', 'سازمانی', 'می', 'تواند', 'خطرات', 'زیست', 'محیطی', 'کاهش', 'دهد', 'مطالعه', 'یک', 'مدل', 'ریاضی', 'چندهدفه', 'یک', 'شبکه', 'زنجیره', 'تأمین', 'سبز', 'چند', 'سطحی', 'چند', 'محصولی', 'ارائه', 'شده_است', 'کمینه', 'سازی', 'هزینۀ', 'حمل', 'نقل', 'هزینۀ', 'زیست', 'محیطی', 'بیشینه', 'سازی', 'سطح', 'ظرفیت', 'زنجیره', 'تأمین', 'می', 'پردازد', 'پژوهش', 'نظر', 'هدف', 'کاربردی', 'نظر', 'جمع', 'آوری', 'داده', 'پیمایشی', 'است', 'مطالعه', 'پس', 'مداقه', 'مبانی', 'نظری', 'پیشینه', 'تجربی', 'طراحی', 'شبکه', 'انجام', 'گردید', 'سپس', 'مدل', 'ریاضی', 'مناسب', 'مطالعه', 'موردی', 'تدوین', 'اعتبارسنجی', 'انجام', 'حل', 'مدل', 'رویکرد', 'معیار', 'جامع', 'نرم', 'افزار', 'گمز', 'حل', 'کننده', 'سیپلکس', 'حل', 'مدل', 'استفاده', 'شد', 'حل', 'مدل', 'مقدار', 'متغیرهای', 'تصمیم', 'دودویی', 'محاسبه', 'گردید', 'نتایج', 'نشان', 'داد', 'کارخانه', 'اول', 'بیشترین', 'ظرفیت', 'دریافت', 'آبزی', 'سه', 'مزرعه', 'اول', 'سوم', 'چهارم', 'دارد', 'همچنین', 'زنجیره', 'تأمین', 'آبزیان', 'مورد', 'مطالعه', 'تأکید', 'کاهش', 'ردپای', 'کربن', 'بیان', 'می', 'دارد', 'جهت', 'دستیابی', 'اهداف', 'کارخانه', 'اول', 'فرآوری', 'محصول', 'سوم', 'کارخانه', 'دوم', 'فرآوری', 'سه', 'نوع', 'محصول', 'کارخانه', 'سوم', 'فرآوری', 'محصول', 'دوم', 'فعالیت', 'داشته_باشد']"
